id_inscricao_evento;fk_evento;fk_usuario;status_ue
66;18;332;CONFIRMADO
67;18;1097;CONFIRMADO
68;18;316;CONFIRMADO
69;18;1095;CONFIRMADO
70;18;1042;CONFIRMADO
71;18;1011;CONFIRMADO
72;18;371;CONFIRMADO
73;18;330;CONFIRMADO
74;18;69;CONFIRMADO
75;18;491;CONFIRMADO
76;18;346;CONFIRMADO
77;20;218;CONFIRMADO
78;20;46;CONFIRMADO
79;20;922;CONFIRMADO
80;20;32;CONFIRMADO
81;20;671;CONFIRMADO
82;20;480;CONFIRMADO
83;20;1087;CONFIRMADO
84;20;732;CONFIRMADO
85;21;202;CONFIRMADO
86;21;215;CONFIRMADO
87;21;34;CONFIRMADO
88;21;470;CONFIRMADO
89;21;264;CONFIRMADO
90;21;525;CONFIRMADO
91;21;559;CONFIRMADO
92;21;9;CONFIRMADO
93;21;701;CONFIRMADO
94;21;1023;CONFIRMADO
95;23;469;CONFIRMADO
96;23;361;CONFIRMADO
97;23;1118;CONFIRMADO
98;23;354;CONFIRMADO
99;23;216;CONFIRMADO
100;23;1009;CONFIRMADO
101;23;1032;CONFIRMADO
102;23;485;CONFIRMADO
103;23;339;CONFIRMADO
104;23;732;CONFIRMADO
105;23;920;CONFIRMADO
106;23;916;CONFIRMADO
107;23;708;CONFIRMADO
108;23;416;CONFIRMADO
109;23;187;CONFIRMADO
110;23;37;CONFIRMADO
111;23;27;CONFIRMADO
112;23;941;CONFIRMADO
113;23;940;CONFIRMADO
114;23;319;CONFIRMADO
115;27;71;CONFIRMADO
116;27;1154;CONFIRMADO
117;27;911;CONFIRMADO
118;27;467;CONFIRMADO
119;27;306;CONFIRMADO
120;27;553;CONFIRMADO
121;27;200;CONFIRMADO
122;27;1110;CONFIRMADO
123;27;711;CONFIRMADO
124;27;564;CONFIRMADO
125;27;440;CONFIRMADO
126;27;912;CONFIRMADO
127;27;860;CONFIRMADO
128;27;227;CONFIRMADO
129;27;361;CONFIRMADO
130;27;24;CONFIRMADO
131;27;153;CONFIRMADO
132;27;464;CONFIRMADO
133;27;441;CONFIRMADO
134;27;862;CONFIRMADO
135;28;690;CONFIRMADO
136;28;846;CONFIRMADO
137;28;431;CONFIRMADO
138;28;1167;CONFIRMADO
139;28;718;CONFIRMADO
140;28;110;CONFIRMADO
141;28;696;CONFIRMADO
142;28;762;CONFIRMADO
143;28;759;CONFIRMADO
144;28;581;CONFIRMADO
145;28;217;CONFIRMADO
146;28;1142;CONFIRMADO
147;28;887;CONFIRMADO
148;28;821;CONFIRMADO
149;28;3;CONFIRMADO
150;28;1141;CONFIRMADO
151;28;117;CONFIRMADO
152;28;1035;CONFIRMADO
153;28;489;CONFIRMADO
154;28;254;CONFIRMADO
155;31;573;CONFIRMADO
156;31;112;CONFIRMADO
157;31;1138;CONFIRMADO
158;31;1141;CONFIRMADO
159;31;967;CONFIRMADO
160;31;16;CONFIRMADO
161;31;547;CONFIRMADO
162;31;590;CONFIRMADO
163;31;501;CONFIRMADO
164;31;387;CONFIRMADO
165;31;908;CONFIRMADO
166;31;470;CONFIRMADO
167;31;1039;CONFIRMADO
168;31;107;CONFIRMADO
169;31;126;CONFIRMADO
170;31;330;CONFIRMADO
171;31;278;CONFIRMADO
172;31;385;CONFIRMADO
173;31;834;CONFIRMADO
174;31;713;CONFIRMADO
175;32;381;CONFIRMADO
176;32;697;CONFIRMADO
177;32;616;CONFIRMADO
178;32;1093;CONFIRMADO
179;34;629;CONFIRMADO
180;34;584;CONFIRMADO
181;34;9;CONFIRMADO
182;34;750;CONFIRMADO
183;34;256;CONFIRMADO
184;34;968;CONFIRMADO
185;34;102;CONFIRMADO
186;34;719;CONFIRMADO
187;34;432;CONFIRMADO
188;34;869;CONFIRMADO
189;36;723;CONFIRMADO
190;36;267;CONFIRMADO
191;36;1008;CONFIRMADO
192;36;316;CONFIRMADO
193;36;974;CONFIRMADO
194;37;739;CONFIRMADO
195;37;638;CONFIRMADO
196;37;535;CONFIRMADO
197;37;75;CONFIRMADO
198;37;357;CONFIRMADO
199;38;606;CONFIRMADO
200;38;755;CONFIRMADO
201;38;882;CONFIRMADO
202;38;729;CONFIRMADO
203;38;456;CONFIRMADO
204;38;1148;CONFIRMADO
205;38;205;CONFIRMADO
206;38;376;CONFIRMADO
207;38;609;CONFIRMADO
208;38;227;CONFIRMADO
209;40;10;CONFIRMADO
210;40;824;CONFIRMADO
211;40;312;CONFIRMADO
212;40;523;CONFIRMADO
213;40;283;CONFIRMADO
214;40;951;CONFIRMADO
215;40;17;CONFIRMADO
216;41;493;CONFIRMADO
217;41;196;CONFIRMADO
218;41;464;CONFIRMADO
219;41;612;CONFIRMADO
220;43;602;CONFIRMADO
221;43;191;CONFIRMADO
222;43;68;CONFIRMADO
223;43;516;CONFIRMADO
224;43;865;CONFIRMADO
225;43;37;CONFIRMADO
226;43;855;CONFIRMADO
227;43;786;CONFIRMADO
228;43;690;CONFIRMADO
229;43;486;CONFIRMADO
230;44;297;CONFIRMADO
231;44;841;CONFIRMADO
232;44;1139;CONFIRMADO
233;44;1041;CONFIRMADO
234;44;527;CONFIRMADO
235;44;440;CONFIRMADO
236;44;240;CONFIRMADO
237;44;1073;CONFIRMADO
238;44;635;CONFIRMADO
239;44;736;CONFIRMADO
240;44;542;CONFIRMADO
241;44;54;CONFIRMADO
242;44;39;CONFIRMADO
243;44;48;CONFIRMADO
244;44;866;CONFIRMADO
245;44;777;CONFIRMADO
246;44;197;CONFIRMADO
247;44;598;CONFIRMADO
248;44;696;CONFIRMADO
249;44;41;CONFIRMADO
250;51;985;CONFIRMADO
251;51;672;CONFIRMADO
252;51;1120;CONFIRMADO
253;51;32;CONFIRMADO
254;51;219;CONFIRMADO
255;51;412;CONFIRMADO
256;51;1068;CONFIRMADO
257;52;24;CONFIRMADO
258;52;372;CONFIRMADO
259;52;1115;CONFIRMADO
260;52;1041;CONFIRMADO
261;52;299;CONFIRMADO
262;52;1130;CONFIRMADO
263;52;938;CONFIRMADO
264;52;202;CONFIRMADO
265;53;562;CONFIRMADO
266;53;497;CONFIRMADO
267;53;962;CONFIRMADO
268;53;178;CONFIRMADO
269;53;484;CONFIRMADO
270;55;830;CONFIRMADO
271;55;204;CONFIRMADO
272;55;457;CONFIRMADO
273;55;1041;CONFIRMADO
274;56;11;CONFIRMADO
275;56;912;CONFIRMADO
276;56;650;CONFIRMADO
277;56;297;CONFIRMADO
278;56;892;CONFIRMADO
279;56;1036;CONFIRMADO
280;56;679;CONFIRMADO
281;56;542;CONFIRMADO
282;56;254;CONFIRMADO
283;56;648;CONFIRMADO
284;56;264;CONFIRMADO
285;56;247;CONFIRMADO
286;56;20;CONFIRMADO
287;56;852;CONFIRMADO
288;56;681;CONFIRMADO
289;56;403;CONFIRMADO
290;56;223;CONFIRMADO
291;56;783;CONFIRMADO
292;56;412;CONFIRMADO
293;56;749;CONFIRMADO
294;59;34;CONFIRMADO
295;59;810;CONFIRMADO
296;59;104;CONFIRMADO
297;59;314;CONFIRMADO
298;59;594;CONFIRMADO
299;60;15;CONFIRMADO
300;60;984;CONFIRMADO
301;60;1158;CONFIRMADO
302;60;778;CONFIRMADO
303;60;682;CONFIRMADO
304;61;208;CONFIRMADO
305;61;813;CONFIRMADO
306;61;416;CONFIRMADO
307;61;237;CONFIRMADO
308;61;845;CONFIRMADO
309;61;120;CONFIRMADO
310;61;400;CONFIRMADO
311;64;626;CONFIRMADO
312;64;366;CONFIRMADO
313;64;682;CONFIRMADO
314;64;820;CONFIRMADO
315;64;232;CONFIRMADO
316;64;802;CONFIRMADO
317;64;992;CONFIRMADO
318;66;170;CONFIRMADO
319;66;243;CONFIRMADO
320;66;965;CONFIRMADO
321;66;450;CONFIRMADO
322;67;712;CONFIRMADO
323;67;212;CONFIRMADO
324;67;505;CONFIRMADO
325;67;316;CONFIRMADO
326;67;493;CONFIRMADO
327;67;558;CONFIRMADO
328;67;156;CONFIRMADO
329;67;1170;CONFIRMADO
330;67;21;CONFIRMADO
331;67;985;CONFIRMADO
332;68;1033;CONFIRMADO
333;68;329;CONFIRMADO
334;68;1113;CONFIRMADO
335;68;367;CONFIRMADO
336;68;289;CONFIRMADO
337;68;354;CONFIRMADO
338;68;1076;CONFIRMADO
339;68;917;CONFIRMADO
340;68;728;CONFIRMADO
341;68;301;CONFIRMADO
342;69;130;CONFIRMADO
343;69;195;CONFIRMADO
344;69;722;CONFIRMADO
345;69;1049;CONFIRMADO
346;70;481;CONFIRMADO
347;70;60;CONFIRMADO
348;70;1071;CONFIRMADO
349;70;45;CONFIRMADO
350;70;943;CONFIRMADO
351;71;1041;CONFIRMADO
352;71;142;CONFIRMADO
353;71;1156;CONFIRMADO
354;71;241;CONFIRMADO
355;71;139;CONFIRMADO
356;71;326;CONFIRMADO
357;71;1117;CONFIRMADO
358;71;1053;CONFIRMADO
359;71;731;CONFIRMADO
360;71;1071;CONFIRMADO
361;72;262;CONFIRMADO
362;72;382;CONFIRMADO
363;72;97;CONFIRMADO
364;72;547;CONFIRMADO
365;72;588;CONFIRMADO
366;73;456;CONFIRMADO
367;73;339;CONFIRMADO
368;73;387;CONFIRMADO
369;73;553;CONFIRMADO
370;74;343;CONFIRMADO
371;74;591;CONFIRMADO
372;74;960;CONFIRMADO
373;74;29;CONFIRMADO
374;74;922;CONFIRMADO
375;74;814;CONFIRMADO
376;74;951;CONFIRMADO
377;74;719;CONFIRMADO
378;76;889;CONFIRMADO
379;76;127;CONFIRMADO
380;76;732;CONFIRMADO
381;76;355;CONFIRMADO
382;78;959;CONFIRMADO
383;78;366;CONFIRMADO
384;78;93;CONFIRMADO
385;78;991;CONFIRMADO
386;78;727;CONFIRMADO
387;78;903;CONFIRMADO
388;78;18;CONFIRMADO
389;78;189;CONFIRMADO
390;78;42;CONFIRMADO
391;78;286;CONFIRMADO
392;79;932;CONFIRMADO
393;79;850;CONFIRMADO
394;79;503;CONFIRMADO
395;79;350;CONFIRMADO
396;79;202;CONFIRMADO
397;79;515;CONFIRMADO
398;79;340;CONFIRMADO
399;79;880;CONFIRMADO
400;79;753;CONFIRMADO
401;79;743;CONFIRMADO
402;80;948;CONFIRMADO
403;80;943;CONFIRMADO
404;80;632;CONFIRMADO
405;80;265;CONFIRMADO
406;80;157;CONFIRMADO
407;81;262;CONFIRMADO
408;81;51;CONFIRMADO
409;81;1058;CONFIRMADO
410;81;746;CONFIRMADO
411;81;130;CONFIRMADO
412;82;90;CONFIRMADO
413;82;982;CONFIRMADO
414;82;60;CONFIRMADO
415;82;334;CONFIRMADO
416;82;431;CONFIRMADO
417;82;959;CONFIRMADO
418;82;180;CONFIRMADO
419;82;965;CONFIRMADO
420;82;660;CONFIRMADO
421;82;700;CONFIRMADO
422;83;910;CONFIRMADO
423;83;577;CONFIRMADO
424;83;297;CONFIRMADO
425;83;485;CONFIRMADO
426;83;774;CONFIRMADO
427;83;508;CONFIRMADO
428;83;44;CONFIRMADO
429;83;843;CONFIRMADO
430;83;118;CONFIRMADO
431;83;30;CONFIRMADO
432;83;552;CONFIRMADO
433;83;543;CONFIRMADO
434;83;985;CONFIRMADO
435;83;690;CONFIRMADO
436;83;548;CONFIRMADO
437;83;587;CONFIRMADO
438;83;613;CONFIRMADO
439;83;222;CONFIRMADO
440;83;61;CONFIRMADO
441;83;979;CONFIRMADO
442;84;381;CONFIRMADO
443;84;773;CONFIRMADO
444;84;965;CONFIRMADO
445;84;809;CONFIRMADO
446;84;491;CONFIRMADO
447;85;1119;CONFIRMADO
448;85;559;CONFIRMADO
449;85;385;CONFIRMADO
450;85;604;CONFIRMADO
451;86;393;CONFIRMADO
452;86;254;CONFIRMADO
453;86;566;CONFIRMADO
454;86;298;CONFIRMADO
455;86;43;CONFIRMADO
456;86;470;CONFIRMADO
457;86;1069;CONFIRMADO
458;86;750;CONFIRMADO
459;86;430;CONFIRMADO
460;86;875;CONFIRMADO
461;86;1075;CONFIRMADO
462;86;45;CONFIRMADO
463;86;778;CONFIRMADO
464;86;600;CONFIRMADO
465;86;166;CONFIRMADO
466;86;102;CONFIRMADO
467;86;9;CONFIRMADO
468;86;91;CONFIRMADO
469;86;1044;CONFIRMADO
470;86;225;CONFIRMADO
471;87;223;CONFIRMADO
472;87;822;CONFIRMADO
473;87;27;CONFIRMADO
474;87;449;CONFIRMADO
475;87;346;CONFIRMADO
476;88;454;CONFIRMADO
477;88;382;CONFIRMADO
478;88;922;CONFIRMADO
479;88;684;CONFIRMADO
480;88;4;CONFIRMADO
481;88;321;CONFIRMADO
482;88;137;CONFIRMADO
483;88;850;CONFIRMADO
484;89;735;CONFIRMADO
485;89;119;CONFIRMADO
486;89;362;CONFIRMADO
487;89;667;CONFIRMADO
488;89;953;CONFIRMADO
489;89;796;CONFIRMADO
490;89;132;CONFIRMADO
491;89;1093;CONFIRMADO
492;89;491;CONFIRMADO
493;89;1058;CONFIRMADO
494;89;959;CONFIRMADO
495;89;439;CONFIRMADO
496;89;239;CONFIRMADO
497;89;926;CONFIRMADO
498;89;986;CONFIRMADO
499;89;630;CONFIRMADO
500;89;111;CONFIRMADO
501;89;249;CONFIRMADO
502;89;743;CONFIRMADO
503;89;97;CONFIRMADO
504;90;90;CONFIRMADO
505;90;197;CONFIRMADO
506;90;472;CONFIRMADO
507;90;282;CONFIRMADO
508;90;402;CONFIRMADO
509;91;504;CONFIRMADO
510;91;961;CONFIRMADO
511;91;307;CONFIRMADO
512;91;279;CONFIRMADO
513;91;936;CONFIRMADO
514;92;778;CONFIRMADO
515;92;345;CONFIRMADO
516;92;194;CONFIRMADO
517;92;1001;CONFIRMADO
518;92;1009;CONFIRMADO
519;93;725;CONFIRMADO
520;93;435;CONFIRMADO
521;93;295;CONFIRMADO
522;93;484;CONFIRMADO
523;93;496;CONFIRMADO
524;93;459;CONFIRMADO
525;93;388;CONFIRMADO
526;97;352;CONFIRMADO
527;97;182;CONFIRMADO
528;97;191;CONFIRMADO
529;97;491;CONFIRMADO
530;97;218;CONFIRMADO
531;97;1002;CONFIRMADO
532;97;305;CONFIRMADO
533;97;1071;CONFIRMADO
534;97;383;CONFIRMADO
535;97;611;CONFIRMADO
536;100;863;CONFIRMADO
537;100;438;CONFIRMADO
538;100;154;CONFIRMADO
539;100;118;CONFIRMADO
540;100;398;CONFIRMADO
541;100;1040;CONFIRMADO
542;100;689;CONFIRMADO
543;100;707;CONFIRMADO
544;100;770;CONFIRMADO
545;100;258;CONFIRMADO
546;101;560;CONFIRMADO
547;101;467;CONFIRMADO
548;101;602;CONFIRMADO
549;101;205;CONFIRMADO
550;101;596;CONFIRMADO
551;101;437;CONFIRMADO
552;101;7;CONFIRMADO
553;101;340;CONFIRMADO
554;103;531;CONFIRMADO
555;103;277;CONFIRMADO
556;103;731;CONFIRMADO
557;103;17;CONFIRMADO
558;103;560;CONFIRMADO
559;103;528;CONFIRMADO
560;103;652;CONFIRMADO
561;103;890;CONFIRMADO
562;103;1030;CONFIRMADO
563;103;412;CONFIRMADO
564;103;55;CONFIRMADO
565;103;74;CONFIRMADO
566;103;1124;CONFIRMADO
567;103;977;CONFIRMADO
568;103;635;CONFIRMADO
569;103;131;CONFIRMADO
570;103;369;CONFIRMADO
571;103;374;CONFIRMADO
572;103;319;CONFIRMADO
573;103;84;CONFIRMADO
574;104;151;CONFIRMADO
575;104;783;CONFIRMADO
576;104;54;CONFIRMADO
577;104;595;CONFIRMADO
578;104;739;CONFIRMADO
579;104;4;CONFIRMADO
580;104;673;CONFIRMADO
581;105;446;CONFIRMADO
582;105;1007;CONFIRMADO
583;105;656;CONFIRMADO
584;105;1093;CONFIRMADO
585;105;130;CONFIRMADO
586;105;798;CONFIRMADO
587;105;969;CONFIRMADO
588;105;295;CONFIRMADO
589;105;588;CONFIRMADO
590;105;509;CONFIRMADO
591;105;643;CONFIRMADO
592;105;49;CONFIRMADO
593;105;692;CONFIRMADO
594;105;977;CONFIRMADO
595;105;233;CONFIRMADO
596;105;226;CONFIRMADO
597;105;726;CONFIRMADO
598;105;822;CONFIRMADO
599;105;558;CONFIRMADO
600;105;124;CONFIRMADO
601;106;143;CONFIRMADO
602;106;852;CONFIRMADO
603;106;827;CONFIRMADO
604;106;888;CONFIRMADO
605;106;1117;CONFIRMADO
606;107;1084;CONFIRMADO
607;107;310;CONFIRMADO
608;107;435;CONFIRMADO
609;107;165;CONFIRMADO
610;107;1120;CONFIRMADO
611;107;525;CONFIRMADO
612;107;1133;CONFIRMADO
613;107;986;CONFIRMADO
614;107;116;CONFIRMADO
615;107;635;CONFIRMADO
616;108;588;CONFIRMADO
617;108;1134;CONFIRMADO
618;108;307;CONFIRMADO
619;108;1107;CONFIRMADO
620;110;718;CONFIRMADO
621;110;334;CONFIRMADO
622;110;1124;CONFIRMADO
623;110;670;CONFIRMADO
624;110;1097;CONFIRMADO
625;110;1017;CONFIRMADO
626;110;208;CONFIRMADO
627;110;706;CONFIRMADO
628;114;766;CONFIRMADO
629;114;274;CONFIRMADO
630;114;984;CONFIRMADO
631;114;665;CONFIRMADO
632;114;592;CONFIRMADO
633;114;1100;CONFIRMADO
634;114;31;CONFIRMADO
635;115;590;CONFIRMADO
636;115;159;CONFIRMADO
637;115;718;CONFIRMADO
638;115;1147;CONFIRMADO
639;115;414;CONFIRMADO
640;115;720;CONFIRMADO
641;115;456;CONFIRMADO
642;115;492;CONFIRMADO
643;116;458;CONFIRMADO
644;116;343;CONFIRMADO
645;116;510;CONFIRMADO
646;116;157;CONFIRMADO
647;118;1177;CONFIRMADO
648;118;985;CONFIRMADO
649;118;669;CONFIRMADO
650;118;319;CONFIRMADO
651;118;427;CONFIRMADO
652;118;296;CONFIRMADO
653;118;744;CONFIRMADO
654;118;531;CONFIRMADO
655;118;52;CONFIRMADO
656;118;848;CONFIRMADO
657;118;473;CONFIRMADO
658;118;498;CONFIRMADO
659;118;906;CONFIRMADO
660;118;936;CONFIRMADO
661;118;290;CONFIRMADO
662;118;801;CONFIRMADO
663;118;872;CONFIRMADO
664;118;585;CONFIRMADO
665;118;639;CONFIRMADO
666;118;271;CONFIRMADO
667;119;281;CONFIRMADO
668;119;103;CONFIRMADO
669;119;680;CONFIRMADO
670;119;284;CONFIRMADO
671;119;297;CONFIRMADO
672;120;122;CONFIRMADO
673;120;340;CONFIRMADO
674;120;1144;CONFIRMADO
675;120;942;CONFIRMADO
676;121;530;CONFIRMADO
677;121;730;CONFIRMADO
678;121;474;CONFIRMADO
679;121;934;CONFIRMADO
680;121;950;CONFIRMADO
681;121;533;CONFIRMADO
682;121;249;CONFIRMADO
683;122;413;CONFIRMADO
684;122;66;CONFIRMADO
685;122;824;CONFIRMADO
686;122;743;CONFIRMADO
687;122;230;CONFIRMADO
688;122;713;CONFIRMADO
689;122;1138;CONFIRMADO
690;122;1028;CONFIRMADO
691;122;508;CONFIRMADO
692;122;936;CONFIRMADO
693;122;971;CONFIRMADO
694;122;217;CONFIRMADO
695;122;563;CONFIRMADO
696;122;804;CONFIRMADO
697;122;1080;CONFIRMADO
698;122;967;CONFIRMADO
699;122;992;CONFIRMADO
700;122;36;CONFIRMADO
701;122;256;CONFIRMADO
702;122;282;CONFIRMADO
703;124;189;CONFIRMADO
704;124;465;CONFIRMADO
705;124;718;CONFIRMADO
706;124;750;CONFIRMADO
707;124;856;CONFIRMADO
708;124;823;CONFIRMADO
709;124;316;CONFIRMADO
710;124;988;CONFIRMADO
711;124;432;CONFIRMADO
712;124;692;CONFIRMADO
713;125;157;CONFIRMADO
714;125;276;CONFIRMADO
715;125;379;CONFIRMADO
716;125;897;CONFIRMADO
717;127;663;CONFIRMADO
718;127;78;CONFIRMADO
719;127;1133;CONFIRMADO
720;127;635;CONFIRMADO
721;127;1116;CONFIRMADO
722;127;804;CONFIRMADO
723;127;164;CONFIRMADO
724;127;796;CONFIRMADO
725;127;7;CONFIRMADO
726;127;599;CONFIRMADO
727;127;809;CONFIRMADO
728;127;267;CONFIRMADO
729;127;212;CONFIRMADO
730;127;1078;CONFIRMADO
731;127;804;CONFIRMADO
732;127;78;CONFIRMADO
733;127;462;CONFIRMADO
734;127;626;CONFIRMADO
735;127;321;CONFIRMADO
736;127;77;CONFIRMADO
737;129;518;CONFIRMADO
738;129;409;CONFIRMADO
739;129;711;CONFIRMADO
740;129;328;CONFIRMADO
741;129;846;CONFIRMADO
742;130;682;CONFIRMADO
743;130;564;CONFIRMADO
744;130;686;CONFIRMADO
745;130;632;CONFIRMADO
746;130;1092;CONFIRMADO
747;130;929;CONFIRMADO
748;130;1043;CONFIRMADO
749;131;581;CONFIRMADO
750;131;1041;CONFIRMADO
751;131;906;CONFIRMADO
752;131;862;CONFIRMADO
753;131;1151;CONFIRMADO
754;131;716;CONFIRMADO
755;131;454;CONFIRMADO
756;131;1057;CONFIRMADO
757;133;858;CONFIRMADO
758;133;1158;CONFIRMADO
759;133;1069;CONFIRMADO
760;133;1046;CONFIRMADO
761;133;249;CONFIRMADO
762;133;50;CONFIRMADO
763;133;161;CONFIRMADO
764;133;472;CONFIRMADO
765;133;1124;CONFIRMADO
766;133;713;CONFIRMADO
767;133;796;CONFIRMADO
768;133;238;CONFIRMADO
769;133;193;CONFIRMADO
770;133;213;CONFIRMADO
771;133;814;CONFIRMADO
772;133;694;CONFIRMADO
773;133;575;CONFIRMADO
774;133;824;CONFIRMADO
775;133;708;CONFIRMADO
776;133;731;CONFIRMADO
777;134;627;CONFIRMADO
778;134;95;CONFIRMADO
779;134;115;CONFIRMADO
780;134;639;CONFIRMADO
781;134;390;CONFIRMADO
782;134;104;CONFIRMADO
783;134;711;CONFIRMADO
784;134;899;CONFIRMADO
785;134;980;CONFIRMADO
786;134;1105;CONFIRMADO
787;135;42;CONFIRMADO
788;135;431;CONFIRMADO
789;135;981;CONFIRMADO
790;135;977;CONFIRMADO
791;135;434;CONFIRMADO
792;135;1065;CONFIRMADO
793;135;726;CONFIRMADO
794;135;17;CONFIRMADO
795;135;453;CONFIRMADO
796;135;395;CONFIRMADO
797;137;133;CONFIRMADO
798;137;768;CONFIRMADO
799;137;87;CONFIRMADO
800;137;1088;CONFIRMADO
801;138;548;CONFIRMADO
802;138;205;CONFIRMADO
803;138;1165;CONFIRMADO
804;138;700;CONFIRMADO
805;138;18;CONFIRMADO
806;138;967;CONFIRMADO
807;138;664;CONFIRMADO
808;138;1051;CONFIRMADO
809;139;722;CONFIRMADO
810;139;981;CONFIRMADO
811;139;519;CONFIRMADO
812;139;350;CONFIRMADO
813;139;512;CONFIRMADO
814;140;922;CONFIRMADO
815;140;1046;CONFIRMADO
816;140;337;CONFIRMADO
817;140;1162;CONFIRMADO
818;140;947;CONFIRMADO
819;142;784;CONFIRMADO
820;142;149;CONFIRMADO
821;142;1037;CONFIRMADO
822;142;1084;CONFIRMADO
823;142;444;CONFIRMADO
824;144;181;CONFIRMADO
825;144;439;CONFIRMADO
826;144;550;CONFIRMADO
827;144;332;CONFIRMADO
828;144;196;CONFIRMADO
829;146;475;CONFIRMADO
830;146;717;CONFIRMADO
831;146;248;CONFIRMADO
832;146;1032;CONFIRMADO
833;146;666;CONFIRMADO
834;146;470;CONFIRMADO
835;146;103;CONFIRMADO
836;146;815;CONFIRMADO
837;146;517;CONFIRMADO
838;146;281;CONFIRMADO
839;148;908;CONFIRMADO
840;148;484;CONFIRMADO
841;148;734;CONFIRMADO
842;148;360;CONFIRMADO
843;150;371;CONFIRMADO
844;150;385;CONFIRMADO
845;150;748;CONFIRMADO
846;150;37;CONFIRMADO
847;152;233;CONFIRMADO
848;152;515;CONFIRMADO
849;152;687;CONFIRMADO
850;152;51;CONFIRMADO
851;152;498;CONFIRMADO
852;152;124;CONFIRMADO
853;152;628;CONFIRMADO
854;153;978;CONFIRMADO
855;153;1079;CONFIRMADO
856;153;849;CONFIRMADO
857;153;197;CONFIRMADO
858;153;200;CONFIRMADO
859;153;734;CONFIRMADO
860;153;684;CONFIRMADO
861;153;726;CONFIRMADO
862;153;43;CONFIRMADO
863;153;231;CONFIRMADO
864;156;646;CONFIRMADO
865;156;1002;CONFIRMADO
866;156;227;CONFIRMADO
867;156;472;CONFIRMADO
868;156;752;CONFIRMADO
869;159;805;CONFIRMADO
870;159;930;CONFIRMADO
871;159;22;CONFIRMADO
872;159;144;CONFIRMADO
873;159;804;CONFIRMADO
874;5;13;CONFIRMADO
875;5;24;CONFIRMADO
876;5;36;CONFIRMADO
877;5;40;CONFIRMADO
878;5;55;CONFIRMADO
879;5;60;CONFIRMADO
880;5;70;CONFIRMADO
881;5;73;CONFIRMADO
882;5;86;CONFIRMADO
883;5;91;CONFIRMADO
884;5;95;CONFIRMADO
885;5;111;CONFIRMADO
886;5;124;CONFIRMADO
887;5;142;CONFIRMADO
888;5;150;CONFIRMADO
889;5;151;CONFIRMADO
890;5;168;CONFIRMADO
891;5;176;CONFIRMADO
892;5;220;CONFIRMADO
893;5;229;CONFIRMADO
894;5;248;CONFIRMADO
895;5;265;CONFIRMADO
896;5;273;CONFIRMADO
897;5;276;CONFIRMADO
898;5;285;CONFIRMADO
899;5;287;CONFIRMADO
900;5;293;CONFIRMADO
901;5;306;CONFIRMADO
902;5;307;CONFIRMADO
903;5;310;CONFIRMADO
904;5;324;CONFIRMADO
905;5;330;CONFIRMADO
906;5;332;CONFIRMADO
907;5;333;CONFIRMADO
908;5;364;CONFIRMADO
909;5;383;CONFIRMADO
910;5;410;CONFIRMADO
911;5;413;CONFIRMADO
912;5;415;CONFIRMADO
913;5;431;CONFIRMADO
914;5;453;CONFIRMADO
915;5;458;CONFIRMADO
916;5;470;CONFIRMADO
917;5;478;CONFIRMADO
918;5;509;CONFIRMADO
919;5;511;CONFIRMADO
920;5;525;CONFIRMADO
921;5;532;CONFIRMADO
922;5;543;CONFIRMADO
