id_publicacao;descricao;data_postagem;imagem;fk_usuario;fk_evento;publicacao_pai;tipo
20;Descrição adequada do Evento de Aulas de Ingles;11/01/2021;evento_20.jpg;1;20;0;EVENTO
21;Descrição adequada do Evento de Workshops/Lives/Palestras;05/11/2021;evento_21.jpg;1;21;0;EVENTO
22;Descrição adequada do Evento de Sacolinha de fim de ano;17/05/2021;evento_22.jpg;1;22;0;EVENTO
23;Descrição adequada do Evento de Multiroes Mao na Massa;07/09/2021;evento_23.jpg;1;23;0;EVENTO
24;Descrição adequada do Evento de Indicacao de Projetos;04/08/2021;evento_24.jpg;1;24;0;EVENTO
25;Descrição adequada do Evento de Sacolinha de fim de ano;02/04/2021;evento_25.jpg;1;25;0;EVENTO
26;Descrição adequada do Evento de Doacao de Sangue;08/09/2021;evento_26.jpg;1;26;0;EVENTO
27;Descrição adequada do Evento de Multiroes Mao na Massa;20/01/2021;evento_27.jpg;1;27;0;EVENTO
28;Descrição adequada do Evento de Multiroes Mao na Massa;17/02/2021;evento_28.jpg;1;28;0;EVENTO
29;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;19/10/2021;evento_29.jpg;1;29;0;EVENTO
30;Descrição adequada do Evento de Doacao de Sangue;19/07/2021;evento_30.jpg;1;30;0;EVENTO
31;Descrição adequada do Evento de Multiroes Mao na Massa;19/05/2021;evento_31.jpg;1;31;0;EVENTO
32;Descrição adequada do Evento de Comites Estrategicos;07/02/2021;evento_32.jpg;1;32;0;EVENTO
33;Descrição adequada do Evento de Doacao de Sangue;26/09/2021;evento_33.jpg;1;33;0;EVENTO
34;Descrição adequada do Evento de Workshops/Lives/Palestras;11/07/2021;evento_34.jpg;1;34;0;EVENTO
35;Descrição adequada do Evento de Indicacao de Projetos;01/03/2021;evento_35.jpg;1;35;0;EVENTO
36;Descrição adequada do Evento de Mentoria;02/07/2021;evento_36.jpg;1;36;0;EVENTO
37;Descrição adequada do Evento de Mentoria;14/06/2021;evento_37.jpg;1;37;0;EVENTO
38;Descrição adequada do Evento de Workshops/Lives/Palestras;16/04/2021;evento_38.jpg;1;38;0;EVENTO
39;Descrição adequada do Evento de Indicacao de Projetos;08/06/2021;evento_39.jpg;1;39;0;EVENTO
40;Descrição adequada do Evento de Simulacao de Entrevista;13/07/2021;evento_40.jpg;1;40;0;EVENTO
41;Descrição adequada do Evento de Consultoria/Servicos a ONGs Parceiras;20/02/2021;evento_41.jpg;1;41;0;EVENTO
42;Descrição adequada do Evento de Doacao de Sangue;20/08/2021;evento_42.jpg;1;42;0;EVENTO
43;Descrição adequada do Evento de Workshops/Lives/Palestras;17/11/2021;evento_43.jpg;1;43;0;EVENTO
44;Descrição adequada do Evento de Multiroes Mao na Massa;24/08/2021;evento_44.jpg;1;44;0;EVENTO
45;Descrição adequada do Evento de Sacolinha de fim de ano;28/05/2021;evento_45.jpg;1;45;0;EVENTO
46;Descrição adequada do Evento de Doacao de Cestas Basicas;02/11/2021;evento_46.jpg;1;46;0;EVENTO
47;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;04/04/2021;evento_47.jpg;1;47;0;EVENTO
48;Descrição adequada do Evento de Doacao de Sangue;10/07/2021;evento_48.jpg;1;48;0;EVENTO
49;Descrição adequada do Evento de Indicacao de Projetos;13/09/2021;evento_49.jpg;1;49;0;EVENTO
50;Descrição adequada do Evento de Sacolinha de fim de ano;08/05/2021;evento_50.jpg;1;50;0;EVENTO
51;Descrição adequada do Evento de Simulacao de Entrevista;29/08/2021;evento_51.jpg;1;51;0;EVENTO
52;Descrição adequada do Evento de Aulas de Ingles;24/11/2021;evento_52.jpg;1;52;0;EVENTO
53;Descrição adequada do Evento de Mentoria;03/11/2021;evento_53.jpg;1;53;0;EVENTO
54;Descrição adequada do Evento de Indicacao de Projetos;10/04/2020;evento_54.jpg;1;54;0;EVENTO
55;Descrição adequada do Evento de Comites Estrategicos;19/04/2020;evento_55.jpg;1;55;0;EVENTO
56;Descrição adequada do Evento de Multiroes Mao na Massa;10/06/2020;evento_56.jpg;1;56;0;EVENTO
57;Descrição adequada do Evento de Sacolinha de fim de ano;06/09/2020;evento_57.jpg;1;57;0;EVENTO
58;Descrição adequada do Evento de Doacao de Sangue;13/01/2020;evento_58.jpg;1;58;0;EVENTO
59;Descrição adequada do Evento de Mentoria;29/11/2020;evento_59.jpg;1;59;0;EVENTO
60;Descrição adequada do Evento de Mentoria;25/07/2020;evento_60.jpg;1;60;0;EVENTO
61;Descrição adequada do Evento de Simulacao de Entrevista;05/03/2020;evento_61.jpg;1;61;0;EVENTO
62;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;06/11/2020;evento_62.jpg;1;62;0;EVENTO
63;Descrição adequada do Evento de Doacao de Cestas Basicas;10/02/2020;evento_63.jpg;1;63;0;EVENTO
64;Descrição adequada do Evento de Simulacao de Entrevista;22/01/2020;evento_64.jpg;1;64;0;EVENTO
65;Descrição adequada do Evento de Doacao de Cestas Basicas;17/04/2020;evento_65.jpg;1;65;0;EVENTO
66;Descrição adequada do Evento de Comites Estrategicos;14/10/2020;evento_66.jpg;1;66;0;EVENTO
67;Descrição adequada do Evento de Workshops/Lives/Palestras;10/09/2020;evento_67.jpg;1;67;0;EVENTO
68;Descrição adequada do Evento de Workshops/Lives/Palestras;15/06/2020;evento_68.jpg;1;68;0;EVENTO
69;Descrição adequada do Evento de Comites Estrategicos;19/10/2020;evento_69.jpg;1;69;0;EVENTO
70;Descrição adequada do Evento de Mentoria;24/08/2020;evento_70.jpg;1;70;0;EVENTO
71;Descrição adequada do Evento de Workshops/Lives/Palestras;25/06/2020;evento_71.jpg;1;71;0;EVENTO
72;Descrição adequada do Evento de Mentoria;05/11/2020;evento_72.jpg;1;72;0;EVENTO
73;Descrição adequada do Evento de Comites Estrategicos;11/09/2020;evento_73.jpg;1;73;0;EVENTO
74;Descrição adequada do Evento de Aulas de Ingles;16/09/2020;evento_74.jpg;1;74;0;EVENTO
75;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;19/05/2020;evento_75.jpg;1;75;0;EVENTO
76;Descrição adequada do Evento de Consultoria/Servicos a ONGs Parceiras;27/11/2020;evento_76.jpg;1;76;0;EVENTO
77;Descrição adequada do Evento de Indicacao de Projetos;26/08/2020;evento_77.jpg;1;77;0;EVENTO
78;Descrição adequada do Evento de Workshops/Lives/Palestras;16/07/2020;evento_78.jpg;1;78;0;EVENTO
79;Descrição adequada do Evento de Workshops/Lives/Palestras;14/03/2020;evento_79.jpg;1;79;0;EVENTO
80;Descrição adequada do Evento de Mentoria;06/07/2020;evento_80.jpg;1;80;0;EVENTO
81;Descrição adequada do Evento de Mentoria;15/05/2020;evento_81.jpg;1;81;0;EVENTO
82;Descrição adequada do Evento de Workshops/Lives/Palestras;16/05/2020;evento_82.jpg;1;82;0;EVENTO
83;Descrição adequada do Evento de Multiroes Mao na Massa;29/07/2020;evento_83.jpg;1;83;0;EVENTO
84;Descrição adequada do Evento de Mentoria;11/01/2020;evento_84.jpg;1;84;0;EVENTO
85;Descrição adequada do Evento de Consultoria/Servicos a ONGs Parceiras;07/04/2020;evento_85.jpg;1;85;0;EVENTO
86;Descrição adequada do Evento de Multiroes Mao na Massa;30/09/2020;evento_86.jpg;1;86;0;EVENTO
87;Descrição adequada do Evento de Mentoria;13/02/2020;evento_87.jpg;1;87;0;EVENTO
88;Descrição adequada do Evento de Aulas de Ingles;01/08/2020;evento_88.jpg;1;88;0;EVENTO
89;Descrição adequada do Evento de Multiroes Mao na Massa;28/06/2020;evento_89.jpg;1;89;0;EVENTO
90;Descrição adequada do Evento de Mentoria;04/07/2020;evento_90.jpg;1;90;0;EVENTO
91;Descrição adequada do Evento de Mentoria;12/01/2020;evento_91.jpg;1;91;0;EVENTO
92;Descrição adequada do Evento de Mentoria;02/03/2020;evento_92.jpg;1;92;0;EVENTO
93;Descrição adequada do Evento de Simulacao de Entrevista;07/03/2020;evento_93.jpg;1;93;0;EVENTO
94;Descrição adequada do Evento de Doacao de Sangue;16/06/2020;evento_94.jpg;1;94;0;EVENTO
95;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;09/03/2020;evento_95.jpg;1;95;0;EVENTO
96;Descrição adequada do Evento de Doacao de Sangue;04/04/2020;evento_96.jpg;1;96;0;EVENTO
97;Descrição adequada do Evento de Workshops/Lives/Palestras;10/05/2020;evento_97.jpg;1;97;0;EVENTO
98;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;04/08/2020;evento_98.jpg;1;98;0;EVENTO
99;Descrição adequada do Evento de Indicacao de Projetos;31/05/2020;evento_99.jpg;1;99;0;EVENTO
100;Descrição adequada do Evento de Workshops/Lives/Palestras;09/01/2020;evento_100.jpg;1;100;0;EVENTO
101;Descrição adequada do Evento de Aulas de Ingles;18/02/2020;evento_101.jpg;1;101;0;EVENTO
102;Descrição adequada do Evento de Doacao de Cestas Basicas;03/06/2020;evento_102.jpg;1;102;0;EVENTO
103;Descrição adequada do Evento de Multiroes Mao na Massa;21/07/2020;evento_103.jpg;1;103;0;EVENTO
104;Descrição adequada do Evento de Simulacao de Entrevista;28/08/2020;evento_104.jpg;1;104;0;EVENTO
105;Descrição adequada do Evento de Multiroes Mao na Massa;26/09/2020;evento_105.jpg;1;105;0;EVENTO
106;Descrição adequada do Evento de Mentoria;08/02/2020;evento_106.jpg;1;106;0;EVENTO
107;Descrição adequada do Evento de Workshops/Lives/Palestras;17/01/2019;evento_107.jpg;1;107;0;EVENTO
108;Descrição adequada do Evento de Comites Estrategicos;29/08/2019;evento_108.jpg;1;108;0;EVENTO
109;Descrição adequada do Evento de Doacao de Cestas Basicas;02/01/2019;evento_109.jpg;1;109;0;EVENTO
110;Descrição adequada do Evento de Aulas de Ingles;30/01/2019;evento_110.jpg;1;110;0;EVENTO
111;Descrição adequada do Evento de Doacao de Sangue;29/03/2019;evento_111.jpg;1;111;0;EVENTO
112;Descrição adequada do Evento de Doacao de Sangue;17/02/2019;evento_112.jpg;1;112;0;EVENTO
113;Descrição adequada do Evento de Doacao de Sangue;03/04/2019;evento_113.jpg;1;113;0;EVENTO
114;Descrição adequada do Evento de Simulacao de Entrevista;04/01/2019;evento_114.jpg;1;114;0;EVENTO
115;Descrição adequada do Evento de Aulas de Ingles;21/04/2019;evento_115.jpg;1;115;0;EVENTO
116;Descrição adequada do Evento de Comites Estrategicos;27/04/2019;evento_116.jpg;1;116;0;EVENTO
117;Descrição adequada do Evento de Sacolinha de fim de ano;05/02/2019;evento_117.jpg;1;117;0;EVENTO
118;Descrição adequada do Evento de Multiroes Mao na Massa;03/11/2019;evento_118.jpg;1;118;0;EVENTO
119;Descrição adequada do Evento de Mentoria;29/05/2019;evento_119.jpg;1;119;0;EVENTO
120;Descrição adequada do Evento de Comites Estrategicos;08/07/2019;evento_120.jpg;1;120;0;EVENTO
121;Descrição adequada do Evento de Simulacao de Entrevista;14/06/2019;evento_121.jpg;1;121;0;EVENTO
122;Descrição adequada do Evento de Multiroes Mao na Massa;22/09/2019;evento_122.jpg;1;122;0;EVENTO
123;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;25/02/2019;evento_123.jpg;1;123;0;EVENTO
124;Descrição adequada do Evento de Workshops/Lives/Palestras;11/01/2019;evento_124.jpg;1;124;0;EVENTO
125;Descrição adequada do Evento de Comites Estrategicos;13/01/2019;evento_125.jpg;1;125;0;EVENTO
126;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;27/07/2019;evento_126.jpg;1;126;0;EVENTO
127;Descrição adequada do Evento de Multiroes Mao na Massa;18/06/2019;evento_127.jpg;1;127;0;EVENTO
128;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;13/07/2019;evento_128.jpg;1;128;0;EVENTO
129;Descrição adequada do Evento de Mentoria;11/03/2019;evento_129.jpg;1;129;0;EVENTO
130;Descrição adequada do Evento de Simulacao de Entrevista;12/11/2019;evento_130.jpg;1;130;0;EVENTO
131;Descrição adequada do Evento de Aulas de Ingles;16/03/2019;evento_131.jpg;1;131;0;EVENTO
132;Descrição adequada do Evento de Sacolinha de fim de ano;22/03/2019;evento_132.jpg;1;132;0;EVENTO
133;Descrição adequada do Evento de Multiroes Mao na Massa;17/07/2019;evento_133.jpg;1;133;0;EVENTO
134;Descrição adequada do Evento de Workshops/Lives/Palestras;16/02/2019;evento_134.jpg;1;134;0;EVENTO
135;Descrição adequada do Evento de Workshops/Lives/Palestras;11/09/2019;evento_135.jpg;1;135;0;EVENTO
136;Descrição adequada do Evento de Doacao de Cobertores e Agasalhos;16/06/2019;evento_136.jpg;1;136;0;EVENTO
137;Descrição adequada do Evento de Comites Estrategicos;05/09/2019;evento_137.jpg;1;137;0;EVENTO
138;Descrição adequada do Evento de Aulas de Ingles;06/10/2019;evento_138.jpg;1;138;0;EVENTO
139;Descrição adequada do Evento de Mentoria;07/05/2019;evento_139.jpg;1;139;0;EVENTO
140;Descrição adequada do Evento de Mentoria;04/02/2019;evento_140.jpg;1;140;0;EVENTO
141;Descrição adequada do Evento de Doacao de Sangue;10/02/2019;evento_141.jpg;1;141;0;EVENTO
142;Descrição adequada do Evento de Mentoria;21/08/2019;evento_142.jpg;1;142;0;EVENTO
143;Descrição adequada do Evento de Doacao de Sangue;26/07/2019;evento_143.jpg;1;143;0;EVENTO
144;Descrição adequada do Evento de Mentoria;24/02/2019;evento_144.jpg;1;144;0;EVENTO
145;Descrição adequada do Evento de Indicacao de Projetos;23/09/2019;evento_145.jpg;1;145;0;EVENTO
146;Descrição adequada do Evento de Workshops/Lives/Palestras;19/08/2019;evento_146.jpg;1;146;0;EVENTO
147;Descrição adequada do Evento de Indicacao de Projetos;25/01/2019;evento_147.jpg;1;147;0;EVENTO
148;Descrição adequada do Evento de Consultoria/Servicos a ONGs Parceiras;28/07/2019;evento_148.jpg;1;148;0;EVENTO
149;Descrição adequada do Evento de Doacao de Sangue;06/04/2019;evento_149.jpg;1;149;0;EVENTO
150;Descrição adequada do Evento de Comites Estrategicos;28/01/2019;evento_150.jpg;1;150;0;EVENTO
151;Descrição adequada do Evento de Sacolinha de fim de ano;24/06/2019;evento_151.jpg;1;151;0;EVENTO
152;Descrição adequada do Evento de Simulacao de Entrevista;07/04/2019;evento_152.jpg;1;152;0;EVENTO
153;Descrição adequada do Evento de Workshops/Lives/Palestras;29/01/2019;evento_153.jpg;1;153;0;EVENTO
154;Descrição adequada do Evento de Sacolinha de fim de ano;18/09/2019;evento_154.jpg;1;154;0;EVENTO
155;Descrição adequada do Evento de Sacolinha de fim de ano;20/02/2019;evento_155.jpg;1;155;0;EVENTO
156;Descrição adequada do Evento de Mentoria;02/09/2019;evento_156.jpg;1;156;0;EVENTO
157;Descrição adequada do Evento de Indicacao de Projetos;15/03/2019;evento_157.jpg;1;157;0;EVENTO
158;Descrição adequada do Evento de Doacao de Sangue;15/11/2019;evento_158.jpg;1;158;0;EVENTO
159;Descrição adequada do Evento de Mentoria;27/03/2019;evento_159.jpg;1;159;0;EVENTO
160;Descricao adequada da publicação  110;26/02/2019;pub_1.jgp;710;110;110;PUBLICACAO
161;Descricao adequada da publicação  116;05/05/2019;pub_2.jgp;711;116;116;PUBLICACAO
162;Descricao adequada da publicação  118;16/11/2019;pub_3.jgp;880;118;118;PUBLICACAO
163;Descricao adequada da publicação  102;23/06/2020;pub_4.jgp;302;102;102;PUBLICACAO
164;Descricao adequada da publicação  159;03/04/2019;pub_5.jgp;217;159;159;PUBLICACAO
165;Descricao adequada da publicação  115;26/05/2019;pub_6.jgp;12;115;115;PUBLICACAO
166;Descricao adequada da publicação  3;03/06/2021;pub_7.jgp;119;3;3;PUBLICACAO
167;Descricao adequada da publicação  126;09/08/2019;pub_8.jgp;508;126;126;PUBLICACAO
168;Descricao adequada da publicação  89;07/07/2020;pub_9.jgp;1039;89;89;PUBLICACAO
169;Descricao adequada da publicação  77;12/09/2020;pub_10.jgp;1073;77;77;PUBLICACAO
170;Descricao adequada da publicação  111;01/05/2019;pub_11.jgp;1130;111;111;PUBLICACAO
171;Descricao adequada da publicação  127;05/07/2019;pub_12.jgp;39;127;127;PUBLICACAO
172;Descricao adequada da publicação  128;13/07/2019;pub_13.jgp;1075;128;128;PUBLICACAO
173;Descricao adequada da publicação  99;11/06/2020;pub_14.jgp;319;99;99;PUBLICACAO
174;Descricao adequada da publicação  123;28/03/2019;pub_15.jgp;301;123;123;PUBLICACAO
175;Descricao adequada da publicação  126;14/08/2019;pub_16.jgp;449;126;126;PUBLICACAO
176;Descricao adequada da publicação  43;26/11/2021;pub_17.jgp;312;43;43;PUBLICACAO
177;Descricao adequada da publicação  97;17/05/2020;pub_18.jgp;1131;97;97;PUBLICACAO
178;Descricao adequada da publicação  99;09/06/2020;pub_19.jgp;757;99;99;PUBLICACAO
179;Descricao adequada da publicação  125;11/02/2019;pub_20.jgp;631;125;125;PUBLICACAO
180;Descricao adequada da publicação  22;20/05/2021;pub_21.jgp;678;22;22;PUBLICACAO
181;Descricao adequada da publicação  78;26/07/2020;pub_22.jgp;1095;78;78;PUBLICACAO
182;Descricao adequada da publicação  1;31/10/2021;pub_23.jgp;913;1;1;PUBLICACAO
183;Descricao adequada da publicação  90;31/07/2020;pub_24.jgp;368;90;90;PUBLICACAO
184;Descricao adequada da publicação  69;08/11/2020;pub_25.jgp;345;69;69;PUBLICACAO
185;Descricao adequada da publicação  62;01/12/2020;pub_26.jgp;461;62;62;PUBLICACAO
186;Descricao adequada da publicação  35;30/03/2021;pub_27.jgp;125;35;35;PUBLICACAO
187;Descricao adequada da publicação  4;24/06/2021;pub_28.jgp;1048;4;4;PUBLICACAO
188;Descricao adequada da publicação  70;19/09/2020;pub_29.jgp;1157;70;70;PUBLICACAO
189;Descricao adequada da publicação  107;30/01/2019;pub_30.jgp;564;107;107;PUBLICACAO
190;Descricao adequada da publicação  68;19/07/2020;pub_31.jgp;159;68;68;PUBLICACAO
191;Descricao adequada da publicação  104;25/09/2020;pub_32.jgp;39;104;104;PUBLICACAO
192;Descricao adequada da publicação  43;01/12/2021;pub_33.jgp;596;43;43;PUBLICACAO
193;Descricao adequada da publicação  73;13/09/2020;pub_34.jgp;897;73;73;PUBLICACAO
194;Descricao adequada da publicação  28;20/03/2021;pub_35.jgp;221;28;28;PUBLICACAO
195;Descricao adequada da publicação  16;20/05/2021;pub_36.jgp;666;16;16;PUBLICACAO
196;Descricao adequada da publicação  132;16/04/2019;pub_37.jgp;1022;132;132;PUBLICACAO
197;Descricao adequada da publicação  21;23/11/2021;pub_38.jgp;154;21;21;PUBLICACAO
198;Descricao adequada da publicação  84;03/02/2020;pub_39.jgp;1149;84;84;PUBLICACAO
199;Descricao adequada da publicação  5;07/08/2021;pub_40.jgp;999;5;5;PUBLICACAO
200;Descricao adequada da publicação  150;31/01/2019;pub_41.jgp;331;150;150;PUBLICACAO
201;Descricao adequada da publicação  133;16/08/2019;pub_42.jgp;28;133;133;PUBLICACAO
202;Descricao adequada da publicação  25;29/04/2021;pub_43.jgp;639;25;25;PUBLICACAO
203;Descricao adequada da publicação  17;21/02/2021;pub_44.jgp;476;17;17;PUBLICACAO
204;Descricao adequada da publicação  76;14/12/2020;pub_45.jgp;611;76;76;PUBLICACAO
205;Descricao adequada da publicação  47;08/05/2021;pub_46.jgp;1148;47;47;PUBLICACAO
206;Descricao adequada da publicação  78;16/07/2020;pub_47.jgp;1054;78;78;PUBLICACAO
207;Descricao adequada da publicação  56;05/07/2020;pub_48.jgp;929;56;56;PUBLICACAO
208;Descricao adequada da publicação  154;04/10/2019;pub_49.jgp;993;154;154;PUBLICACAO
209;Descricao adequada da publicação  72;04/12/2020;pub_50.jgp;808;72;72;PUBLICACAO
210;Descricao adequada da publicação  23;17/09/2021;pub_51.jgp;537;23;23;PUBLICACAO
211;Descricao adequada da publicação  99;03/07/2020;pub_52.jgp;1137;99;99;PUBLICACAO
212;Descricao adequada da publicação  67;09/10/2020;pub_53.jgp;450;67;67;PUBLICACAO
213;Descricao adequada da publicação  67;11/10/2020;pub_54.jgp;877;67;67;PUBLICACAO
214;Descricao adequada da publicação  60;05/08/2020;pub_55.jgp;972;60;60;PUBLICACAO
215;Descricao adequada da publicação  135;12/09/2019;pub_56.jgp;1174;135;135;PUBLICACAO
216;Descricao adequada da publicação  12;08/05/2021;pub_57.jgp;680;12;12;PUBLICACAO
217;Descricao adequada da publicação  158;24/11/2019;pub_58.jgp;625;158;158;PUBLICACAO
218;Descricao adequada da publicação  121;06/07/2019;pub_59.jgp;10;121;121;PUBLICACAO
219;Descricao adequada da publicação  2;17/02/2021;pub_60.jgp;101;2;2;PUBLICACAO
220;Descricao adequada da publicação  86;18/10/2020;pub_61.jgp;304;86;86;PUBLICACAO
221;Descricao adequada da publicação  139;14/05/2019;pub_62.jgp;591;139;139;PUBLICACAO
222;Descricao adequada da publicação  95;02/04/2020;pub_63.jgp;74;95;95;PUBLICACAO
223;Descricao adequada da publicação  21;11/11/2021;pub_64.jgp;141;21;21;PUBLICACAO
224;Descricao adequada da publicação  60;10/08/2020;pub_65.jgp;1058;60;60;PUBLICACAO
225;Descricao adequada da publicação  107;09/02/2019;pub_66.jgp;655;107;107;PUBLICACAO
226;Descricao adequada da publicação  141;03/03/2019;pub_67.jgp;214;141;141;PUBLICACAO
227;Descricao adequada da publicação  46;24/11/2021;pub_68.jgp;303;46;46;PUBLICACAO
228;Descricao adequada da publicação  75;16/06/2020;pub_69.jgp;661;75;75;PUBLICACAO
229;Descricao adequada da publicação  105;02/10/2020;pub_70.jgp;995;105;105;PUBLICACAO
230;Descricao adequada da publicação  33;29/10/2021;pub_71.jgp;553;33;33;PUBLICACAO
231;Descricao adequada da publicação  18;17/05/2021;pub_72.jgp;632;18;18;PUBLICACAO
232;Descricao adequada da publicação  153;02/02/2019;pub_73.jgp;272;153;153;PUBLICACAO
233;Descricao adequada da publicação  124;08/02/2019;pub_74.jgp;383;124;124;PUBLICACAO
234;Descricao adequada da publicação  91;13/02/2020;pub_75.jgp;337;91;91;PUBLICACAO
235;Descricao adequada da publicação  37;21/06/2021;pub_76.jgp;342;37;37;PUBLICACAO
236;Descricao adequada da publicação  120;19/07/2019;pub_77.jgp;562;120;120;PUBLICACAO
237;Descricao adequada da publicação  133;29/07/2019;pub_78.jgp;1169;133;133;PUBLICACAO
238;Descricao adequada da publicação  16;06/05/2021;pub_79.jgp;825;16;16;PUBLICACAO
239;Descricao adequada da publicação  51;15/09/2021;pub_80.jgp;675;51;51;PUBLICACAO
240;Descricao adequada da publicação  53;21/11/2021;pub_81.jgp;1075;53;53;PUBLICACAO
241;Descricao adequada da publicação  116;31/05/2019;pub_82.jgp;416;116;116;PUBLICACAO
242;Descricao adequada da publicação  91;27/01/2020;pub_83.jgp;1131;91;91;PUBLICACAO
243;Descricao adequada da publicação  52;26/12/2021;pub_84.jgp;669;52;52;PUBLICACAO
244;Descricao adequada da publicação  62;22/11/2020;pub_85.jgp;460;62;62;PUBLICACAO
245;Descricao adequada da publicação  113;06/04/2019;pub_86.jgp;788;113;113;PUBLICACAO
246;Descricao adequada da publicação  60;15/08/2020;pub_87.jgp;269;60;60;PUBLICACAO
247;Descricao adequada da publicação  24;15/08/2021;pub_88.jgp;543;24;24;PUBLICACAO
248;Descricao adequada da publicação  101;19/02/2020;pub_89.jgp;511;101;101;PUBLICACAO
249;Descricao adequada da publicação  31;30/05/2021;pub_90.jgp;893;31;31;PUBLICACAO
250;Descricao adequada da publicação  1;18/11/2021;pub_91.jgp;995;1;1;PUBLICACAO
251;Descricao adequada da publicação  87;19/03/2020;pub_92.jgp;255;87;87;PUBLICACAO
252;Descricao adequada da publicação  102;29/06/2020;pub_93.jgp;484;102;102;PUBLICACAO
253;Descricao adequada da publicação  151;07/07/2019;pub_94.jgp;416;151;151;PUBLICACAO
254;Descricao adequada da publicação  152;13/04/2019;pub_95.jgp;533;152;152;PUBLICACAO
255;Descricao adequada da publicação  141;16/03/2019;pub_96.jgp;293;141;141;PUBLICACAO
256;Descricao adequada da publicação  156;14/09/2019;pub_97.jgp;153;156;156;PUBLICACAO
257;Descricao adequada da publicação  136;24/06/2019;pub_98.jgp;996;136;136;PUBLICACAO
258;Descricao adequada da publicação  7;24/04/2021;pub_99.jgp;895;7;7;PUBLICACAO
259;Descricao adequada da publicação  55;06/05/2020;pub_100.jgp;716;55;55;PUBLICACAO
260;Descricao adequada da publicação  143;28/07/2019;pub_101.jgp;69;143;143;PUBLICACAO
261;Descricao adequada da publicação  8;21/11/2021;pub_102.jgp;362;8;8;PUBLICACAO
262;Descricao adequada da publicação  125;15/02/2019;pub_103.jgp;632;125;125;PUBLICACAO
263;Descricao adequada da publicação  126;08/08/2019;pub_104.jgp;367;126;126;PUBLICACAO
264;Descricao adequada da publicação  77;27/09/2020;pub_105.jgp;1122;77;77;PUBLICACAO
265;Descricao adequada da publicação  31;08/06/2021;pub_106.jgp;641;31;31;PUBLICACAO
266;Descricao adequada da publicação  43;06/12/2021;pub_107.jgp;271;43;43;PUBLICACAO
267;Descricao adequada da publicação  32;11/02/2021;pub_108.jgp;689;32;32;PUBLICACAO
268;Descricao adequada da publicação  88;12/08/2020;pub_109.jgp;912;88;88;PUBLICACAO
269;Descricao adequada da publicação  147;22/02/2019;pub_110.jgp;698;147;147;PUBLICACAO
270;Descricao adequada da publicação  39;16/06/2021;pub_111.jgp;130;39;39;PUBLICACAO
271;Descricao adequada da publicação  15;13/10/2021;pub_112.jgp;1028;15;15;PUBLICACAO
272;Descricao adequada da publicação  148;01/09/2019;pub_113.jgp;1109;148;148;PUBLICACAO
